iter	RMSE
410	21.36575399
411	21.36054757
412	21.35687728
413	21.35400874
414	21.35125257
415	21.33271063
416	21.32996873
417	21.32584038
418	21.32081319
419	21.31538926
420	21.30762708
421	21.30554331
422	21.29571118
423	21.29361884
424	21.2909843
425	21.28831581
426	21.28581462
427	21.26785949
428	21.26484273
429	21.25915362
430	21.25616308
431	21.2461552
432	21.24365047
433	21.24106158
434	21.23723106
435	21.23685679
436	21.23624043
437	21.23341242
438	21.2309419
439	21.22348573
440	21.21774969
441	21.2146871
442	21.20182473
443	21.19947124
444	21.18854114
445	21.18329619
446	21.18052468
447	21.17508573
448	21.16667321
449	21.16441987
450	21.15976293
451	21.15248252
452	21.14929583
453	21.14638793
454	21.14180666
455	21.13819801
456	21.13656373
457	21.13201556
458	21.1288928
459	21.1248602
460	21.12277587
461	21.11513237
462	21.11085517
463	21.10609766
464	21.09681904
465	21.09417784
466	21.08998031
467	21.0813429
468	21.07435882
469	21.06987787
470	21.0666776
471	21.06336278
472	21.05985581
473	21.05543764
474	21.04837123
475	21.04062439
476	21.03228937
477	21.03188395
478	21.02212247
479	21.01570484
480	21.01336265
481	21.01144628
482	21.00943617
483	20.99837162
484	20.99537866
485	20.98718443
486	20.98429316
487	20.98029541
488	20.97314324
489	20.96995754
490	20.95384063
491	20.95350901
492	20.94829569
493	20.94171083
494	20.93901034
495	20.93826067
496	20.93638035
497	20.93556832
498	20.93308615
499	20.92889092
500	20.92754458
501	20.92341843
502	20.92339691
503	20.91788445
504	20.9114596
505	20.90846386
506	20.90608276
507	20.90048553
508	20.89578433
509	20.89256818
510	20.88990429
511	20.88762876
