iter	RMSE
0	38.26085897
1	37.69769136
2	37.1539762
3	36.60316451
4	36.09682445
5	35.60129582
6	35.11528903
7	34.67077832
8	34.25930653
9	33.83168659
10	33.41834793
11	33.04639506
12	32.66871116
13	32.32530827
14	31.99734942
15	31.65635014
16	31.36695458
17	31.06621821
18	30.79075491
19	30.51636115
20	30.25491049
21	30.01147655
22	29.79603246
23	29.5641298
24	29.3271359
25	29.11806071
26	28.91748755
27	28.73336517
28	28.54861353
29	28.37925436
30	28.21498703
31	28.04769726
32	27.88200761
33	27.73205216
34	27.59467513
35	27.46165385
36	27.32634461
37	27.19923849
38	27.09749915
39	26.99888819
40	26.89795458
41	26.82219326
42	26.71530055
43	26.60408616
44	26.51121368
45	26.41537949
46	26.32612389
47	26.25548288
48	26.1743547
49	26.09564208
50	26.04212379
51	25.96853766
52	25.88389516
53	25.81790042
54	25.75515014
55	25.69590449
56	25.63989601
57	25.59118855
58	25.53411665
59	25.47592703
60	25.40547404
61	25.34321638
62	25.28394933
63	25.21531165
64	25.16590612
65	25.12864372
66	25.05397191
67	24.99799472
68	24.94002208
69	24.89133561
70	24.84659825
71	24.80469694
72	24.76545897
73	24.72432456
74	24.67694396
75	24.63774885
76	24.60010171
77	24.56323908
78	24.51906501
79	24.48224645
80	24.45379218
81	24.43314229
82	24.39983875
83	24.35685135
84	24.32848978
85	24.29759532
86	24.27583889
87	24.24450553
88	24.21342915
89	24.19155097
90	24.16249757
91	24.12630304
92	24.08967892
93	24.06115744
94	24.04201649
95	24.02284664
96	24.00037744
97	23.97702037
98	23.95184914
99	23.93676424
100	23.91694594
101	23.88404365
102	23.86505977
103	23.84220417
104	23.82443281
105	23.8156915
106	23.79176548
107	23.778799
108	23.73644287
109	23.70691927
110	23.68439603
111	23.65481341
112	23.62318595
113	23.60527833
114	23.57654425
115	23.55877556
116	23.54492866
117	23.52592762
118	23.50304319
119	23.49889047
120	23.49639925
121	23.49210268
122	23.47012932
123	23.45532412
124	23.44205722
125	23.42850179
126	23.4190817
127	23.41003151
128	23.4012009
129	23.39684827
130	23.37482662
131	23.34573114
132	23.32425367
133	23.30458094
134	23.29790025
135	23.28607477
136	23.28423863
137	23.27911074
138	23.27016604
139	23.25704039
140	23.24074056
141	23.21515987
142	23.21189669
143	23.19661889
144	23.17869151
145	23.16367941
146	23.14524774
147	23.13663153
148	23.12789591
149	23.11915708
150	23.11093512
151	23.09529961
152	23.07026278
153	23.05203993
154	23.03951897
155	23.02412884
156	23.0207167
157	23.01966062
158	23.0186842
159	23.0145553
160	23.00441679
161	22.98993182
162	22.97597634
163	22.95812801
164	22.93071559
165	22.92746673
166	22.91886582
167	22.91509405
168	22.9055945
169	22.89785901
170	22.87938037
171	22.86984537
172	22.85437395
173	22.84678731
174	22.83106258
175	22.81370986
176	22.80358754
177	22.7975427
178	22.79565293
179	22.79141856
180	22.78569004
181	22.77866739
182	22.77736789
183	22.77037135
184	22.75568258
185	22.74630779
186	22.74408179
187	22.72551571
188	22.72259811
189	22.7055766
190	22.69530439
191	22.69059686
192	22.68746468
193	22.67604521
194	22.67077045
195	22.66210351
196	22.65774875
197	22.65309084
198	22.64935215
199	22.64297899
200	22.64128557
201	22.63726298
202	22.6330423
203	22.62285713
204	22.60961226
205	22.605668
206	22.60235215
207	22.59168883
208	22.57439155
209	22.56725925
210	22.56709621
211	22.56090376
212	22.55811539
213	22.538589
214	22.53648097
215	22.53075076
216	22.52573049
217	22.52113258
218	22.51235838
219	22.51219224
220	22.50629718
221	22.49790338
222	22.48328006
223	22.46810529
224	22.46524711
225	22.46033253
226	22.4547417
227	22.45125842
228	22.44516449
229	22.43813449
230	22.42367286
231	22.42051832
232	22.41937472
233	22.41646792
234	22.41158761
235	22.41158761
236	22.40541767
237	22.39880438
238	22.39219906
239	22.37945964
240	22.36886558
241	22.36692098
242	22.36386324
243	22.36001648
244	22.35722934
245	22.35633371
246	22.35216704
247	22.34915676
248	22.33578936
249	22.32816159
250	22.32789895
251	22.31494898
252	22.30778109
253	22.30769874
254	22.30519612
255	22.29737704
256	22.29619961
257	22.28809161
258	22.27986093
259	22.27489835
260	22.27163116
261	22.2671369
262	22.26611087
263	22.26192024
264	22.2531674
265	22.2461248
266	22.2335231
267	22.22797927
268	22.21973567
269	22.21352528
270	22.21256509
271	22.2123239
272	22.20155114
273	22.19545032
274	22.19537851
275	22.19398948
276	22.18810239
277	22.18164548
278	22.17098898
279	22.16951911
280	22.16711031
281	22.16010603
282	22.15781378
283	22.15550963
284	22.15189455
285	22.14842616
286	22.14180262
287	22.13878015
288	22.12821656
289	22.12049971
290	22.10880266
291	22.10262043
292	22.09987561
293	22.09093334
294	22.08925077
295	22.07485554
296	22.07451853
297	22.0522855
298	22.04168927
299	22.03779493
300	22.02350324
301	22.01871339
302	22.00718727
303	22.00502977
304	22.00137201
305	21.99888558
306	21.99770693
307	21.99461525
308	21.9840784
309	21.98061815
310	21.97404306
311	21.9646413
312	21.96017763
313	21.95621058
314	21.95220102
315	21.94702372
316	21.94193126
317	21.93695067
318	21.93426556
319	21.93053002
320	21.93031629
321	21.92869623
322	21.91908644
323	21.90207418
324	21.89399536
325	21.8904898
326	21.88285935
327	21.87819237
328	21.86797295
329	21.86430341
330	21.86360358
331	21.86106958
332	21.84669204
333	21.83722706
334	21.83717113
335	21.83316639
336	21.82866112
337	21.82494445
338	21.81510254
339	21.79844398
340	21.77427577
341	21.75985983
342	21.75791414
343	21.75695438
344	21.75118959
345	21.75038239
346	21.73682802
347	21.72903907
348	21.72201309
349	21.71788102
350	21.71435743
351	21.71324059
352	21.71290708
353	21.70068249
354	21.69738003
355	21.69026842
356	21.68250212
357	21.67304524
358	21.66494575
359	21.65712119
360	21.6499659
361	21.64333138
362	21.64025167
363	21.63976313
364	21.63094622
365	21.62497933
366	21.61667349
367	21.61005889
368	21.60390303
369	21.59410655
370	21.59361038
371	21.58794286
372	21.58139432
373	21.58007532
374	21.57595401
375	21.56692391
376	21.56611348
377	21.56265744
378	21.55597833
379	21.54801574
380	21.53660929
381	21.5287554
382	21.5220968
383	21.52099905
384	21.51376317
385	21.49690365
386	21.49435953
387	21.48819453
388	21.48359265
389	21.48123325
390	21.47331428
391	21.46952824
392	21.46872526
393	21.45636528
394	21.45160277
395	21.44338857
396	21.43962773
397	21.43191337
398	21.42222457
399	21.41346483
400	21.40977296
401	21.40808731
402	21.40364088
403	21.40270353
404	21.39749117
405	21.39446349
406	21.38673123
407	21.38635394
408	21.37964763
409	21.37370304
